G4-G4 H936-H936 {'weight': 0.9, 'layer': 3}
G27-G27 G52-G52 {'weight': 1, 'layer': 1}
G27-G27 G58-G58 {'weight': 1, 'layer': 1}
G27-G27 G83-G83 {'weight': 1, 'layer': 1}
G27-G27 G132-G132 {'weight': 1, 'layer': 1}
G27-G27 G141-G141 {'weight': 1, 'layer': 1}
G27-G27 G153-G153 {'weight': 1, 'layer': 1}
G27-G27 G235-G235 {'weight': 1, 'layer': 1}
G27-G27 G264-G264 {'weight': 1, 'layer': 1}
G27-G27 G266-G266 {'weight': 1, 'layer': 1}
G27-G27 G268-G268 {'weight': 1, 'layer': 1}
G27-G27 G328-G328 {'weight': 1, 'layer': 1}
G27-G27 G331-G331 {'weight': 1, 'layer': 1}
G27-G27 G351-G351 {'weight': 1, 'layer': 1}
G27-G27 G352-G352 {'weight': 1, 'layer': 1}
G27-G27 G357-G357 {'weight': 1, 'layer': 1}
G27-G27 G410-G410 {'weight': 1, 'layer': 1}
G27-G27 G527-G527 {'weight': 1, 'layer': 1}
G27-G27 G537-G537 {'weight': 1, 'layer': 1}
G27-G27 G565-G565 {'weight': 1, 'layer': 1}
G27-G27 G644-G644 {'weight': 1, 'layer': 1}
G27-G27 G658-G658 {'weight': 1, 'layer': 1}
G27-G27 G660-G660 {'weight': 1, 'layer': 1}
G27-G27 G687-G687 {'weight': 1, 'layer': 1}
G27-G27 G709-G709 {'weight': 1, 'layer': 1}
G27-G27 G796-G796 {'weight': 1, 'layer': 1}
G27-G27 G800-G800 {'weight': 1, 'layer': 1}
G27-G27 G915-G915 {'weight': 1, 'layer': 1}
G27-G27 G932-G932 {'weight': 1, 'layer': 1}
G55-G55 G118-G118 {'weight': 1, 'layer': 1}
G55-G55 G182-G182 {'weight': 1, 'layer': 1}
G55-G55 G199-G199 {'weight': 1, 'layer': 1}
G55-G55 H446-H446 {'weight': 0.9, 'layer': 3}
G152-G152 H501-H501 {'weight': 0.9, 'layer': 3}
G177-G177 G299-G299 {'weight': 1, 'layer': 1}
G177-G177 G734-G734 {'weight': 1, 'layer': 1}
G177-G177 H703-H703 {'weight': 0.9, 'layer': 3}
G238-G238 G295-G295 {'weight': 1, 'layer': 1}
G238-G238 G578-G578 {'weight': 1, 'layer': 1}
G477-G477 G558-G558 {'weight': 1, 'layer': 1}
G477-G477 G701-G701 {'weight': 1, 'layer': 1}
G477-G477 G775-G775 {'weight': 1, 'layer': 1}
G499-G499 G743-G743 {'weight': 1, 'layer': 1}
G511-G511 H778-H778 {'weight': 0.9, 'layer': 3}
G68-G68 G69-G69 {'weight': 1, 'layer': 1}
G68-G68 G89-G89 {'weight': 1, 'layer': 1}
G68-G68 G216-G216 {'weight': 1, 'layer': 1}
G68-G68 G282-G282 {'weight': 1, 'layer': 1}
G68-G68 G426-G426 {'weight': 1, 'layer': 1}
G68-G68 G853-G853 {'weight': 1, 'layer': 1}
G68-G68 H645-H645 {'weight': 0.9, 'layer': 3}
G7-G7 G37-G37 {'weight': 1, 'layer': 1}
G7-G7 G289-G289 {'weight': 1, 'layer': 1}
G7-G7 G356-G356 {'weight': 1, 'layer': 1}
G7-G7 G453-G453 {'weight': 1, 'layer': 1}
G11-G11 G43-G43 {'weight': 1, 'layer': 1}
G11-G11 G64-G64 {'weight': 1, 'layer': 1}
G11-G11 G73-G73 {'weight': 1, 'layer': 1}
G11-G11 G350-G350 {'weight': 1, 'layer': 1}
G11-G11 G444-G444 {'weight': 1, 'layer': 1}
G11-G11 G762-G762 {'weight': 1, 'layer': 1}
G11-G11 G955-G955 {'weight': 1, 'layer': 1}
G11-G11 H137-H137 {'weight': 0.9, 'layer': 3}
G103-G103 G121-G121 {'weight': 1, 'layer': 1}
G103-G103 G672-G672 {'weight': 1, 'layer': 1}
G37-G37 G119-G119 {'weight': 1, 'layer': 1}
G37-G37 G196-G196 {'weight': 1, 'layer': 1}
G289-G289 G590-G590 {'weight': 1, 'layer': 1}
G289-G289 G715-G715 {'weight': 1, 'layer': 1}
G289-G289 G720-G720 {'weight': 1, 'layer': 1}
G289-G289 G965-G965 {'weight': 1, 'layer': 1}
G289-G289 G983-G983 {'weight': 1, 'layer': 1}
G289-G289 H114-H114 {'weight': 0.9, 'layer': 3}
G289-G289 H40-H40 {'weight': 0.9, 'layer': 3}
G453-G453 H74-H74 {'weight': 0.9, 'layer': 3}
G8-G8 G12-G12 {'weight': 1, 'layer': 1}
G8-G8 G42-G42 {'weight': 1, 'layer': 1}
G8-G8 G104-G104 {'weight': 1, 'layer': 1}
G8-G8 G162-G162 {'weight': 1, 'layer': 1}
G8-G8 G189-G189 {'weight': 1, 'layer': 1}
G8-G8 G595-G595 {'weight': 1, 'layer': 1}
G8-G8 G848-G848 {'weight': 1, 'layer': 1}
G12-G12 G14-G14 {'weight': 1, 'layer': 1}
G12-G12 G36-G36 {'weight': 1, 'layer': 1}
G12-G12 G72-G72 {'weight': 1, 'layer': 1}
G12-G12 G100-G100 {'weight': 1, 'layer': 1}
G12-G12 G109-G109 {'weight': 1, 'layer': 1}
G12-G12 G335-G335 {'weight': 1, 'layer': 1}
G12-G12 G456-G456 {'weight': 1, 'layer': 1}
G12-G12 G469-G469 {'weight': 1, 'layer': 1}
G12-G12 G647-G647 {'weight': 1, 'layer': 1}
G12-G12 G724-G724 {'weight': 1, 'layer': 1}
G12-G12 G751-G751 {'weight': 1, 'layer': 1}
G42-G42 G71-G71 {'weight': 1, 'layer': 1}
G42-G42 G211-G211 {'weight': 1, 'layer': 1}
G42-G42 G974-G974 {'weight': 1, 'layer': 1}
G104-G104 G417-G417 {'weight': 1, 'layer': 1}
G104-G104 G684-G684 {'weight': 1, 'layer': 1}
G162-G162 G599-G599 {'weight': 1, 'layer': 1}
G162-G162 G963-G963 {'weight': 1, 'layer': 1}
G24-G24 G44-G44 {'weight': 1, 'layer': 1}
G24-G24 G135-G135 {'weight': 1, 'layer': 1}
G24-G24 G624-G624 {'weight': 1, 'layer': 1}
G50-G50 G409-G409 {'weight': 1, 'layer': 1}
G67-G67 G115-G115 {'weight': 1, 'layer': 1}
G94-G94 G498-G498 {'weight': 1, 'layer': 1}
G94-G94 G688-G688 {'weight': 1, 'layer': 1}
G94-G94 H126-H126 {'weight': 0.9, 'layer': 3}
G301-G301 G598-G598 {'weight': 1, 'layer': 1}
G327-G327 G348-G348 {'weight': 1, 'layer': 1}
G327-G327 H328-H328 {'weight': 0.9, 'layer': 3}
G336-G336 G902-G902 {'weight': 1, 'layer': 1}
G396-G396 H552-H552 {'weight': 0.9, 'layer': 3}
G425-G425 G844-G844 {'weight': 1, 'layer': 1}
G458-G458 H676-H676 {'weight': 0.9, 'layer': 3}
G497-G497 G829-G829 {'weight': 1, 'layer': 1}
G697-G697 H680-H680 {'weight': 0.9, 'layer': 3}
G824-G824 G942-G942 {'weight': 1, 'layer': 1}
G824-G824 H737-H737 {'weight': 0.9, 'layer': 3}
G43-G43 G76-G76 {'weight': 1, 'layer': 1}
G43-G43 G424-G424 {'weight': 1, 'layer': 1}
G43-G43 G614-G614 {'weight': 1, 'layer': 1}
G43-G43 G814-G814 {'weight': 1, 'layer': 1}
G43-G43 G896-G896 {'weight': 1, 'layer': 1}
G64-G64 G110-G110 {'weight': 1, 'layer': 1}
G64-G64 H127-H127 {'weight': 0.9, 'layer': 3}
G64-G64 H106-H106 {'weight': 0.9, 'layer': 3}
G73-G73 H585-H585 {'weight': 0.9, 'layer': 3}
G955-G955 H194-H194 {'weight': 0.9, 'layer': 3}
G14-G14 H320-H320 {'weight': 0.9, 'layer': 3}
G36-G36 G38-G38 {'weight': 1, 'layer': 1}
G36-G36 G213-G213 {'weight': 1, 'layer': 1}
G36-G36 G372-G372 {'weight': 1, 'layer': 1}
G36-G36 H806-H806 {'weight': 0.9, 'layer': 3}
G72-G72 G287-G287 {'weight': 1, 'layer': 1}
G72-G72 G367-G367 {'weight': 1, 'layer': 1}
